LAT,LON,YEAR,MO,DY,T2M
-21.34449,55.47301,2001,7,8,   20.66
-21.34449,55.47301,2001,7,9,   20.37
-21.34449,55.47301,2001,7,10,   20.22
-21.34449,55.47301,2001,7,11,   20.69
-21.34449,55.47301,2001,7,12,   20.86
-21.34449,55.47301,2001,7,13,   20.69
-21.34449,55.47301,2001,7,14,   20.47
-21.34449,55.47301,2001,7,15,   20.94
-21.34449,55.47301,2001,7,16,   20.50
-21.34449,55.47301,2001,7,17,   20.46
-21.34449,55.47301,2001,7,18,   20.61
-21.34449,55.47301,2001,7,19,   21.83
-21.34449,55.47301,2001,7,20,   22.32
-21.34449,55.47301,2001,7,21,   22.16
-21.34449,55.47301,2001,7,22,   21.70
-21.34449,55.47301,2001,7,23,   21.54
-21.34449,55.47301,2001,7,24,   20.98
-21.34449,55.47301,2001,7,25,   21.57
-21.34449,55.47301,2001,7,26,   21.46
-21.34449,55.47301,2001,7,27,   21.37
-21.34449,55.47301,2001,7,28,   21.48
-21.34449,55.47301,2001,7,29,   21.24
-21.34449,55.47301,2001,7,30,   21.50
-21.34449,55.47301,2001,7,31,   20.46
-21.34449,55.47301,2001,8,1,   19.09
-21.34449,55.47301,2001,8,2,   19.38
-21.34449,55.47301,2001,8,3,   20.53
-21.34449,55.47301,2001,8,4,   21.29
-21.34449,55.47301,2001,8,5,   21.67
-21.34449,55.47301,2001,8,6,   21.51
-21.34449,55.47301,2001,8,7,   21.08
-21.34449,55.47301,2001,8,8,   22.35
-21.34449,55.47301,2001,8,9,   22.45
-21.34449,55.47301,2001,8,10,   22.22
-21.34449,55.47301,2001,8,11,   21.86
-21.34449,55.47301,2001,8,12,   21.29
-21.34449,55.47301,2001,8,13,   21.91
-21.34449,55.47301,2001,8,14,   22.40
-21.34449,55.47301,2001,8,15,   22.12
-21.34449,55.47301,2001,8,16,   21.64
-21.34449,55.47301,2001,8,17,   21.96
-21.34449,55.47301,2001,8,18,   22.25
-21.34449,55.47301,2001,8,19,   21.98
-21.34449,55.47301,2001,8,20,   21.38
-21.34449,55.47301,2001,8,21,   21.18
-21.34449,55.47301,2001,8,22,   21.71
-21.34449,55.47301,2001,8,23,   21.82
-21.34449,55.47301,2001,8,24,   22.03
-21.34449,55.47301,2001,8,25,   22.20
